#{"t_start": 1768616615.9533436, "env_id": "None"}
r,l,t
-10.129195,24,7.431696
-10.402919,39,9.102338
-9.944679,53,10.611343
-9.606406,498,61.352824
-0.13938232,600,72.827936
0.39970347,600,72.827997
2.4121802,600,72.828033
-0.24017657,600,72.828045
0.41465876,600,72.828056
-0.28034502,600,72.828065
0.11104643,600,72.828075
-0.23433945,600,72.828085
1.0379692,600,75.591485
-0.5585297,600,77.27698
-0.6964537,600,78.872293
-10.706365,312,96.910789
-0.3358505,600,141.664777
-0.22389695,600,141.664836
0.3999389,600,141.664847
1.0358387,600,141.664856
0.74164784,600,141.664864
0.20466724,600,141.664872
-0.4587693,600,141.66488
1.1793377,600,141.664888
-0.67655665,600,144.402508
-10.368069,31,145.239975
0.14325877,600,146.151873
-0.10730971,600,147.763358
-0.8495656,600,166.012028
0.0019773622,600,211.598546
0.4249489,600,211.598611
0.40211123,600,211.598621
-0.40343088,600,211.59863
0.21291918,600,211.59864
0.62593096,600,211.598649
-1.2503742,600,211.598658
-10.047475,12,213.027634
-0.75305367,600,214.416288
0.46499157,600,215.24356
-0.7615468,600,216.182282
0.14229895,600,217.829719
-9.98534,140,230.912679
-10.304079,131,231.599163
-0.27563274,600,236.269755
-9.766962,353,254.432203
-10.189915,352,256.618266
-0.5053267,600,282.21622
-0.11860483,600,282.216291
-0.039219294,600,282.216312
-0.457624,600,282.216329
0.19325575,600,282.216344
-0.93627685,600,282.216359
-1.5471119,600,288.579334
-11.317275,333,296.030855
-0.22768226,600,301.54661
-1.0554239,600,302.248249
-0.048497677,600,306.983236
-9.43462,78,311.451427
0.85611033,600,324.910347
1.1734054,600,352.652869
0.1278591,600,352.652933
0.8076264,600,352.652945
-0.20261961,600,352.652953
0.036090873,600,352.652961
0.14183943,600,352.652969
-0.24230978,600,358.819197
-0.5082294,600,366.187547
-0.47048643,600,371.727538
0.30575284,600,377.08991
0.050194893,600,381.555807
0.13173376,600,395.56146
-0.8411089,600,423.336095
0.45499924,600,423.336163
-0.06616252,600,423.336175
-1.0190327,600,423.336185
0.6176951,600,423.336194
0.027824635,600,423.336202
2.713534,600,429.446626
11.4251995,597,436.404944
1.5238489,600,442.430602
-0.5858255,600,447.799404
-0.75616354,600,452.279042
-9.348356,96,463.714075
0.14231212,600,466.215058
0.598949,600,493.714768
-0.5468253,600,493.714837
0.584065,600,493.714857
-0.06007555,600,493.714872
-1.3057415,600,493.714887
0.09804701,600,493.714901
0.020489583,600,499.978211
-0.41379967,600,507.02913
0.7388052,600,512.948683
-0.15748118,600,518.419841
0.35991618,600,534.223663
-0.5759099,600,536.725447
0.027477747,600,564.45093
0.64851856,600,564.450994
0.9166666,600,564.451008
0.15560077,600,564.451018
0.21759813,600,564.451029
0.94369966,600,564.451039
-9.906076,12,565.80703
-0.16064356,600,570.53922
-0.083055615,600,577.678728
1.0106609,600,583.662729
-0.361728,600,744.878884
-0.785795,600,760.205557
-0.7541158,600,762.573043
-0.091788396,600,790.086783
0.13208301,600,790.086849
1.0823512,600,790.086863
1.0991547,600,790.086874
0.31853944,600,790.086883
0.42980605,600,791.534743
1.3248658,600,796.385888
0.9373666,600,803.449147
0.66236955,600,809.525558
-0.23608142,600,814.985641
0.6046988,600,830.582947
-0.051890563,600,833.057452
2.7069209,600,860.6389
2.1874228,600,860.638965
0.21500328,600,860.638977
0.10933853,600,860.638988
-0.12924816,600,860.638998
0.41172108,600,862.026631
0.113538295,600,866.780425
0.54604125,600,873.831626
1.5487158,600,879.957968
0.88008356,600,885.355311
0.7822177,600,901.150163
1.5586017,600,903.547876
10.799813,416,909.439338
0.6551409,600,930.815804
0.26320747,600,930.815877
-0.3750978,600,930.815893
1.5168191,600,930.815905
0.8691642,600,932.261635
0.6906617,600,937.154796
1.3736724,600,944.325787
1.5443515,600,950.34173
-0.6951918,600,955.937666
11.872186,412,958.08097
2.6470068,600,971.673162
-0.7678946,600,974.126065
1.8540707,600,1001.867735
0.30094537,600,1001.867842
-0.61973095,600,1001.86787
1.1419849,600,1001.867893
4.5903144,600,1003.263796
0.23873,600,1007.987317
-0.2517875,600,1015.060611
2.1625047,600,1021.149174
-0.4340538,600,1026.659548
0.43289888,600,1028.788238
-0.109450996,600,1042.393607
2.4277885,600,1044.862398
11.180987,495,1061.839582
2.2924387,600,1072.606295
-0.1743661,600,1072.606368
0.42356783,600,1072.606388
3.5531635,600,1072.606405
4.174878,600,1078.788902
2.3008056,600,1085.872986
12.383582,148,1090.043967
0.50100595,600,1091.933729
0.18977685,600,1097.323324
1.752299,600,1099.460399
-0.1592637,600,1113.253206
2.300735,600,1115.766524
0.9078052,600,1132.356962
2.0379074,600,1143.422607
1.7641928,600,1143.422666
0.6186197,600,1143.422677
2.715864,600,1149.777797
0.8172444,600,1156.725433
0.17675468,600,1160.817484
2.9284651,600,1162.667065
0.94079024,600,1168.181402
2.2763221,600,1170.315384
-0.029155841,600,1184.084404
