#{"t_start": 1768395681.1830983, "env_id": "None"}
r,l,t
-1095.0,96,9.804358
-1206.0,207,14.935103
-1271.0,272,18.053631
-1445.0,446,30.765141
-600.0,600,33.609505
-600.0,600,33.609561
-600.0,600,33.609572
-600.0,600,33.60958
-600.0,600,33.609589
-1153.0,154,77.433603
-1077.0,78,113.506189
-600.0,600,128.696779
-1029.0,30,142.626737
-1065.0,66,144.039513
-1241.0,242,144.974393
-1249.0,250,148.779382
-1010.0,11,149.246198
-1025.0,26,157.225553
-1267.0,268,157.225613
-600.0,600,159.096313
-1271.0,272,159.096369
-1084.0,85,188.659677
-1280.0,281,281.04266
-1004.0,5,283.338535
-1316.0,317,291.455653
-1292.0,293,294.627493
-600.0,600,313.173456
-1331.0,332,313.173517
-1049.0,50,318.304252
-1002.0,3,319.763695
-1386.0,387,340.921088
-1092.0,93,357.201536
-1004.0,5,359.557789
-1126.0,127,373.445683
-75.0,76,377.269818
-1061.0,62,406.860154
-600.0,600,442.930432
-1158.0,159,449.725629
-600.0,600,472.990471
-1056.0,57,476.847579
-600.0,600,569.968453
-1002.0,3,571.40525
-600.0,600,578.246051
-600.0,600,606.942888
-600.0,600,647.307098
-1185.0,186,667.474257
-1003.0,4,669.440186
-600.0,600,694.967036
-600.0,600,730.715741
-600.0,600,761.187653
-1002.0,3,762.690284
-600.0,600,765.18758
-1233.0,234,782.248812
-1368.0,369,784.695744
-1016.0,17,792.903607
-1104.0,105,843.059981
-600.0,600,860.064301
-1089.0,90,902.946194
-1010.0,11,908.117738
-1135.0,136,908.117801
-600.0,600,935.325984
-1123.0,124,967.258393
-1138.0,139,974.512204
-1410.0,411,978.870501
-600.0,600,982.674143
-1105.0,106,1018.056329
-600.0,600,1018.518376
-600.0,600,1050.003895
-600.0,600,1052.435817
-1140.0,141,1120.017709
-600.0,600,1222.49682
-236.0,237,1233.315371
-1461.0,462,1238.990449
-1020.0,21,1243.355786
-600.0,600,1261.153545
-600.0,600,1265.384059
-600.0,600,1269.28233
-1062.0,63,1273.22187
-1070.0,71,1295.142493
-600.0,600,1305.272702
-600.0,600,1336.634846
-290.0,291,1404.833314
-1286.0,287,1442.558932
-1406.0,407,1467.994763
-1005.0,6,1470.924652
-600.0,600,1509.209409
-600.0,600,1525.892361
-600.0,600,1556.652424
-600.0,600,1582.728917
-600.0,600,1624.168827
-1170.0,171,1664.491412
-600.0,600,1692.382239
-600.0,600,1730.188635
-600.0,600,1758.690386
-600.0,600,1797.308669
-600.0,600,1814.0021
-600.0,600,1845.176458
-600.0,600,1912.611416
-600.0,600,1952.490423
-600.0,600,1980.348831
-600.0,600,2018.295747
-600.0,600,2046.568769
-600.0,600,2084.578204
-600.0,600,2101.101511
-600.0,600,2131.410703
-1083.0,84,2327.72258
-600.0,600,2384.485718
-600.0,600,2424.567726
-1104.0,105,2434.648764
-600.0,600,2452.357945
-600.0,600,2489.483757
-1020.0,21,2499.842989
-600.0,600,2518.230348
-600.0,600,2556.962774
-600.0,600,2604.801965
-600.0,600,2614.492894
-1008.0,9,2618.917671
-1261.0,262,2626.661139
-600.0,600,2713.737183
-600.0,600,2723.913598
-600.0,600,2741.78299
-600.0,600,2808.212189
-1053.0,54,2834.328332
-600.0,600,2846.905996
-1540.0,541,2866.043137
-1514.0,515,2867.530025
-1540.0,541,2887.83099
-1367.0,368,2901.335971
-1079.0,80,2926.079961
-1112.0,113,2980.774853
-600.0,600,3003.010677
-600.0,600,3030.84809
-1164.0,165,3082.29763
-600.0,600,3123.404481
-600.0,600,3135.933379
-1117.0,118,3139.293554
-600.0,600,3155.148518
-600.0,600,3156.549884
-600.0,600,3189.926204
-600.0,600,3268.937247
-600.0,600,3319.022673
-600.0,600,3410.739805
-1024.0,25,3422.98653
-600.0,600,3423.478724
-600.0,600,3426.855731
-1000.0,1,3427.368123
-600.0,600,3442.536405
-600.0,600,3443.994299
-600.0,600,3477.798692
-1021.0,22,3488.439185
-242.0,243,3539.742353
-600.0,600,3556.999176
-1586.0,587,3600.499855
-1291.0,292,3628.66139
-1019.0,20,3638.222898
-1471.0,472,3669.479636
-304.0,305,3703.573605
-600.0,600,3711.766491
-600.0,600,3715.674869
-600.0,600,3732.50815
-600.0,600,3828.23977
-600.0,600,3889.766496
-600.0,600,3927.48804
-600.0,600,3959.010768
-1575.0,576,3981.781148
-600.0,600,4001.677564
-600.0,600,4005.558324
-600.0,600,4022.533907
-1192.0,193,4098.167884
-600.0,600,4117.935458
-600.0,600,4179.588536
-600.0,600,4217.26825
-600.0,600,4248.43801
-600.0,600,4271.327193
-600.0,600,4290.966642
-600.0,600,4311.562829
-600.0,600,4387.466494
-600.0,600,4407.319279
-1005.0,6,4410.13682
-600.0,600,4468.10407
-600.0,600,4505.445789
-600.0,600,4536.589013
-600.0,600,4559.085085
-600.0,600,4578.958975
-1065.0,66,4590.882667
-600.0,600,4599.674593
-1447.0,448,4625.241633
-66.0,67,4657.653614
-600.0,600,4675.875907
-600.0,600,4955.987576
-1225.0,226,4965.281152
-600.0,600,4992.922608
-600.0,600,5023.817801
-61.0,62,5053.674193
-600.0,600,5065.994986
-600.0,600,5078.101484
-1192.0,193,5085.361
-600.0,600,5086.84982
-1044.0,45,5108.598229
-1078.0,79,5116.250568
-600.0,600,5163.057757
-1533.0,534,5221.606412
-600.0,600,5243.533274
-1293.0,294,5249.725432
-600.0,600,5340.865116
-600.0,600,5353.147629
-1522.0,523,5366.139925
-600.0,600,5372.31321
-600.0,600,5449.022433
-600.0,600,5507.870484
-600.0,600,5530.057204
-600.0,600,5536.334411
-1533.0,534,5622.340245
-600.0,600,5628.61233
-600.0,600,5640.981271
-600.0,600,5660.081364
-600.0,600,5736.957351
-1269.0,270,5751.560168
-1025.0,26,5764.244497
-600.0,600,5795.850065
-600.0,600,5817.908215
-600.0,600,5824.085104
-289.0,290,5902.90812
-600.0,600,5915.910491
-600.0,600,5928.265688
-1013.0,14,5934.918987
-600.0,600,5947.114719
-1485.0,486,5969.471658
-1011.0,12,5975.241151
-600.0,600,6081.467985
-1550.0,551,6086.289063
-600.0,600,6103.491839
-1474.0,475,6128.555892
-1140.0,141,6148.506216
-600.0,600,6200.792868
-600.0,600,6219.996624
-600.0,600,6232.56228
-600.0,600,6260.590559
-1046.0,47,6282.907193
-1428.0,429,6290.284526
-1015.0,16,6297.743015
-600.0,600,6387.667171
-1196.0,197,6390.545646
-600.0,600,6412.809884
-560.0,561,6414.254506
-1032.0,33,6428.47784
-600.0,600,6484.56308
-1224.0,225,6493.94767
-600.0,600,6503.550622
-600.0,600,6516.047618
-1221.0,222,6519.443454
-1063.0,64,6546.667894
-1285.0,286,6564.43942
-1170.0,171,6566.330477
-600.0,600,6566.848348
-1005.0,6,6567.336684
-1050.0,51,6591.544861
-1211.0,212,6620.496959
-600.0,600,6675.269075
-1171.0,172,6756.858108
-1010.0,11,6762.050638
-600.0,600,6779.034447
-600.0,600,6788.649453
-414.0,415,6817.109543
-600.0,600,6831.432436
-600.0,600,6850.889006
-600.0,600,6851.329361
-600.0,600,6876.429961
-600.0,600,7047.547453
-600.0,600,7064.62401
-600.0,600,7074.047613
-600.0,600,7102.360108
-600.0,600,7116.565855
-1037.0,38,7120.384426
-600.0,600,7135.926131
-600.0,600,7136.440089
-600.0,600,7161.059262
-600.0,600,7534.526175
-600.0,600,7551.353643
-600.0,600,7560.766902
-600.0,600,7603.606903
-600.0,600,7607.62577
-600.0,600,7623.332887
-600.0,600,7623.840755
-600.0,600,7648.568801
-1307.0,308,7707.834736
-600.0,600,7821.216013
-600.0,600,7838.638344
-1500.0,501,7844.010191
-600.0,600,7895.647362
-1130.0,131,7907.241987
-600.0,600,7911.608826
-600.0,600,7912.074118
-600.0,600,7937.059094
-1143.0,144,7976.706392
-600.0,600,7996.846215
-1375.0,376,8092.172722
-1584.0,585,8102.139997
-1027.0,28,8105.533741
-1001.0,2,8106.514678
-600.0,600,8126.386614
-600.0,600,8182.219085
-600.0,600,8197.772636
-600.0,600,8223.15663
-600.0,600,8262.045387
-600.0,600,8282.324108
-600.0,600,8387.285403
-600.0,600,8391.510952
-600.0,600,8411.775266
-600.0,600,8468.044088
-600.0,600,8483.599309
-565.0,566,8492.73786
-600.0,600,8548.084559
-600.0,600,8568.078091
-1385.0,386,8575.573297
-295.0,296,8609.291932
-600.0,600,8674.854327
-600.0,600,8699.327532
-600.0,600,8772.046535
-600.0,600,8781.265506
-358.0,359,8782.799907
-600.0,600,8836.491182
-123.0,124,8840.231991
-600.0,600,8856.616742
-600.0,600,8864.221612
-600.0,600,8962.214182
-406.0,407,8977.050157
-600.0,600,8986.5311
-391.0,392,9027.926022
-600.0,600,9059.352114
-600.0,600,9124.206813
-1001.0,2,9125.207168
-1014.0,15,9132.469145
-600.0,600,9144.653042
-1243.0,244,9145.689951
-600.0,600,9152.489331
-1110.0,111,9199.424527
-600.0,600,9251.682323
-115.0,116,9255.532915
-600.0,600,9266.448755
-600.0,600,9276.179101
-1466.0,467,9284.961095
-1145.0,146,9346.475214
-600.0,600,9423.150507
-600.0,600,9435.477448
-600.0,600,9443.322703
-600.0,600,9544.143242
-600.0,600,9548.101553
-600.0,600,9559.458645
-1259.0,260,9563.401195
-600.0,600,9578.257593
-1379.0,380,9630.473644
-600.0,600,9641.316517
-1169.0,170,9643.327284
-1026.0,27,9643.870778
-600.0,600,9718.961459
