#{"t_start": 1768871997.2884946, "env_id": "None"}
r,l,t
-1104.0,105,10.196403
-600.0,600,32.726761
-600.0,600,32.726818
-600.0,600,32.726828
-600.0,600,32.726836
-600.0,600,32.726843
-600.0,600,32.72685
-600.0,600,32.72686
-600.0,600,83.680935
-1250.0,251,158.6287
-600.0,600,340.701905
-600.0,600,340.701969
-600.0,600,340.701982
-600.0,600,340.701992
-600.0,600,340.702001
-600.0,600,340.70201
-1080.0,81,383.257907
-600.0,600,396.278368
-1060.0,61,428.539436
-1534.0,535,439.127204
-1261.0,262,567.329541
-600.0,600,659.153657
-600.0,600,659.153724
-600.0,600,659.153737
-600.0,600,659.153747
-600.0,600,659.153756
-600.0,600,702.233889
-181.0,182,756.029638
-600.0,600,758.195103
-311.0,312,824.332376
-134.0,135,826.898979
-600.0,600,885.811054
-600.0,600,977.49197
-600.0,600,977.492051
-600.0,600,977.492063
-600.0,600,1020.890711
-1522.0,523,1035.89098
-600.0,600,1143.374402
-600.0,600,1146.03518
-335.0,336,1198.932495
-600.0,600,1204.795362
-131.0,132,1213.333744
-600.0,600,1296.516801
-600.0,600,1296.51687
-600.0,600,1296.516889
-600.0,600,1354.652148
-478.0,479,1459.615019
-600.0,600,1464.969362
-526.0,527,1479.434329
-600.0,600,1532.493433
-459.0,460,1541.00429
-600.0,600,1615.356801
-600.0,600,1615.356862
-1546.0,547,1644.853141
-1012.0,13,1651.747822
-600.0,600,1778.183643
-1565.0,566,1779.743636
-600.0,600,1783.469053
-600.0,600,1850.622956
-1003.0,4,1852.697351
-600.0,600,1858.935862
-600.0,600,1933.401161
-600.0,600,1933.401225
-600.0,600,1970.640979
-600.0,600,2097.176054
-600.0,600,2098.705236
-600.0,600,2102.436591
-600.0,600,2172.172603
-600.0,600,2178.350032
-418.0,419,2193.119964
-600.0,600,2253.434402
-600.0,600,2253.434464
-600.0,600,2610.196839
-600.0,600,2611.74401
-600.0,600,2615.274279
-600.0,600,2684.39888
-600.0,600,2691.179792
-600.0,600,2705.981121
-600.0,600,2765.280313
-600.0,600,2765.28038
-442.0,443,2847.071376
-1332.0,333,2882.942046
-1423.0,424,2910.416427
-600.0,600,2929.013875
-600.0,600,2934.298153
-412.0,413,2984.751127
-600.0,600,3009.942765
-600.0,600,3084.01633
-1230.0,231,3132.287621
-600.0,600,3165.03348
-1040.0,41,3186.549832
-600.0,600,3200.850742
-600.0,600,3227.884268
-600.0,600,3246.938024
-600.0,600,3252.141257
-1041.0,42,3269.399497
-600.0,600,3302.838832
-1333.0,334,3362.760785
