#{"t_start": 1768953343.4971309, "env_id": "None"}
r,l,t
-9.704489,39,9.459399
-9.790714,272,41.153418
0.22824837,600,75.596468
2.3510482,600,75.596546
-0.29352933,600,75.596565
-0.4269122,600,75.596581
0.88372254,600,75.596596
-0.21869588,600,75.596611
1.0802721,600,75.596625
-0.46503597,600,75.596639
-0.23541865,600,75.596653
0.578744,600,75.596668
-0.07340101,600,75.596682
-9.79156,418,90.868248
-10.983059,149,93.215634
-8.686661,163,94.869215
-9.774365,271,107.954712
-0.7237965,600,147.320741
0.1829225,600,147.320805
1.8407277,600,147.320819
-0.90763295,600,147.32083
-0.9382905,600,147.320842
0.13582425,600,147.320852
0.31342438,600,147.320862
-0.97366315,600,147.320873
0.38154688,600,162.724281
-0.5354889,600,165.029406
1.340142,600,166.669089
-0.35004845,600,179.387085
-1.0560025,600,219.010334
1.2135578,600,219.010414
-0.07502797,600,219.010435
0.22537687,600,219.010453
0.11527664,600,219.010469
-1.8679789,600,219.010485
-0.05509181,600,219.010501
1.1108665,600,219.010517
-9.663755,528,229.883969
0.18865564,600,234.505046
-0.2652103,600,236.848552
-9.694194,512,240.996569
-9.433066,261,250.288482
-10.224698,279,252.495551
-8.620834,482,276.816709
-9.54829,577,288.046182
-0.045875404,600,290.880383
-1.4050732,600,290.880452
0.73139125,600,290.880474
-0.20552072,600,290.880491
-9.966895,101,300.208004
-0.36373255,600,301.734385
0.7396999,600,306.184465
0.20299685,600,308.647131
-9.896532,90,312.444263
-1.4847399,600,312.657582
-0.61951387,600,322.049149
0.7878855,600,324.153856
-0.8910722,600,348.17172
-11.763819,424,356.721816
-1.5849284,600,362.444345
-0.10736423,600,362.444421
-0.33422634,600,362.444443
0.5588941,600,362.444459
-0.48783377,600,371.629817
0.48303083,600,380.18156
-10.359152,277,381.362473
-0.23968111,600,383.973542
0.15029658,600,384.231915
0.008420023,600,393.412394
-0.5406156,600,395.532072
-10.277722,331,420.45475
0.2500303,600,427.939297
0.24832442,600,433.472494
-0.28618613,600,433.47256
1.0584908,600,433.472581
0.14677942,600,433.4726
-0.15275256,600,442.729521
-0.4130261,600,451.090356
-1.2642533,600,454.780011
-0.227555,600,455.032206
-0.84882796,600,464.278408
-0.21475376,600,466.42368
-9.968763,185,472.950721
-9.976965,127,481.601224
-0.3005455,600,491.541716
-11.141771,498,492.513819
-0.043432318,600,499.144118
-0.29374498,600,504.803932
0.7615793,600,504.803993
-0.38989308,600,504.804007
-1.0317234,600,514.17803
-0.5102738,600,526.295397
0.70249104,600,526.516845
-10.756034,226,531.594398
-1.2785019,600,535.823195
-0.914584,600,544.690961
-0.33334956,600,553.554457
-0.23096101,600,563.491586
-0.2839361,600,564.451281
-0.7435722,600,571.200855
-1.0389011,600,576.977729
1.0619509,600,576.977808
-0.48209628,600,586.193894
0.25950408,600,598.46103
-0.72640723,600,598.738972
0.3977486,600,798.663687
-1.5281852,600,802.750524
-0.7110918,600,811.443919
-1.0107616,600,820.190994
0.17395338,600,830.394698
0.95841604,600,831.363695
-1.1866829,600,838.107252
-0.52851653,600,843.776511
-0.11561211,600,843.776571
-1.0884973,600,853.105565
-0.28074148,600,865.342546
-0.31398058,600,865.568334
0.42587698,600,870.784848
-0.47525352,600,875.067945
-1.9325124,600,884.008576
-0.5657756,600,892.736514
-0.54540247,600,902.941984
-0.72016805,600,903.948746
0.6658665,600,910.480368
0.06473301,600,916.14261
0.5141759,600,916.142671
1.0160065,600,925.48576
-1.124359,600,937.914985
-0.40325958,600,938.146397
-10.022189,5,938.772022
0.28960446,600,943.357894
-0.2990105,600,947.464712
0.1235452,600,956.501893
0.74544984,600,965.215385
0.18383753,600,975.20728
0.5637048,600,976.206332
0.4870872,600,982.703338
-1.0868047,600,988.188981
-0.15521199,600,988.189046
0.50730777,600,997.56111
-0.11170591,600,1010.126306
1.2366704,600,1010.964672
0.57439107,600,1015.585291
-1.1220697,600,1019.708343
-9.993843,3,1020.076225
1.1090572,600,1028.546065
-0.20262259,600,1037.288149
-0.58183587,600,1047.532544
0.65452373,600,1048.481911
-1.8588257,600,1055.152892
-2.021731,600,1060.731374
-1.5443648,600,1060.731462
0.985039,600,1070.192835
1.0658371,600,1082.746433
-0.1978501,600,1083.568782
-1.3851464,600,1088.115937
0.015570068,600,1092.733468
1.4032888,600,1101.184407
12.035437,535,1102.018917
-0.398228,600,1120.179101
0.66186106,600,1121.097442
-0.38031203,600,1127.711635
-0.7608056,600,1133.447452
-0.6869923,600,1133.447511
0.027328612,600,1142.929366
-0.39116898,600,1155.3861
0.095745094,600,1156.256185
0.9629229,600,1160.842389
-0.32477108,600,1165.410526
0.47688186,600,1173.862875
1.000297,600,1174.708622
-0.22212669,600,1192.639217
-0.8063283,600,1193.610117
-0.7439062,600,1200.175636
-0.033068497,600,1205.9657
0.59220314,600,1205.965764
-0.61080027,600,1215.390092
2.1462243,600,1227.988367
-1.2733107,600,1228.829303
-0.45357266,600,1233.308993
0.288285,600,1237.970495
-0.0786293,600,1246.412419
-0.34717393,600,1247.228705
1.2089895,600,1265.392407
-0.046570428,600,1266.373448
0.4473174,600,1273.084538
0.017189946,600,1278.775918
-0.3020842,600,1278.775978
0.6671906,600,1288.342604
0.42468953,600,1300.79444
1.9126332,600,1301.663981
0.9788223,600,1306.138942
0.2049843,600,1310.839161
-0.0703186,600,1319.342722
0.30692387,600,1320.217027
0.41317344,600,1338.348891
-1.0746987,600,1339.311517
-1.6728066,600,1345.872756
-0.38096362,600,1351.482125
1.2745864,600,1351.482181
-0.69316983,600,1360.847681
-0.5944596,600,1373.467449
-0.017145079,600,1374.274022
0.18052861,600,1378.76789
-0.21817392,600,1383.312166
-1.9701138,600,1391.982714
-1.9291868,600,1392.893016
-0.0044149873,600,1603.69645
-1.6493723,600,1604.594659
0.17348228,600,1611.235615
-0.8273631,600,1616.95761
-0.18547983,600,1616.957663
-0.05741211,600,1626.290705
-0.082177065,600,1638.724264
-1.443869,600,1639.548465
-0.67265296,600,1644.183244
0.50440437,600,1648.785378
-1.1834999,600,1657.234218
0.5829213,600,1658.081973
-1.5108693,600,1676.028263
-0.11734579,600,1677.011001
-0.5608057,600,1683.690775
0.25440952,600,1689.176892
-1.199938,600,1689.176982
-0.22098397,600,1698.734983
-0.97857076,600,1711.053064
-0.13861205,600,1711.862248
0.92513,600,1716.394629
0.05095811,600,1721.014625
0.14723879,600,1729.251107
-0.104584344,600,1730.112932
-0.607102,600,1747.935877
-0.28685966,600,1748.92412
-0.626593,600,1755.553018
-2.0806713,600,1761.222518
-0.51588815,600,1761.22259
0.50371975,600,1770.638347
-1.5792717,600,1783.11671
-0.29792643,600,1784.005897
0.09604567,600,1788.424256
1.3394085,600,1793.016332
0.22556113,600,1801.462919
0.040070586,600,1802.296591
1.3163329,600,1820.155797
-0.35595855,600,1821.123744
-0.21291718,600,1827.724529
-1.393163,600,1833.322479
1.1983808,600,1833.322538
-1.3418769,600,1842.739891
0.8616453,600,1855.198786
-0.553141,600,1856.027553
-0.38515294,600,1860.578081
-0.87523276,600,1865.054413
-11.08822,363,1871.281852
-0.7123738,600,1873.546056
0.21253967,600,1874.407789
-0.29910317,600,1892.715811
-0.48000205,600,1893.709444
-0.7908925,600,1906.051617
-1.987004,600,1906.05167
-0.20280996,600,1915.467071
1.096479,600,1927.974284
-1.9920166,600,1928.821798
-0.5346533,600,1933.387554
0.29304138,600,1938.007971
-0.8408165,600,1944.289454
1.1505641,600,1946.447668
-0.56594384,600,1947.25268
-0.87928927,600,1965.129935
0.548323,600,1966.066308
-2.065493,600,1978.318929
-0.6427293,600,1978.318995
-0.28761935,600,1987.714015
1.8630453,600,2000.320406
-0.28151134,600,2001.174216
0.75027066,600,2005.809289
-0.6168491,600,2010.312585
0.25692233,600,2016.677776
-2.5096912,600,2018.848354
-1.3066379,600,2019.69301
-2.1124597,600,2037.783857
-2.367162,600,2038.72122
1.1906881,600,2051.109065
0.7355213,600,2051.109128
-3.3909612,600,2060.808699
-2.307988,600,2073.333958
2.6713207,600,2074.15304
3.1542673,600,2078.794542
-0.307088,600,2083.353164
-0.21361963,600,2089.665633
-0.48892137,600,2091.86713
-1.2523346,600,2092.729573
1.2066145,600,2110.868641
0.600416,600,2111.86881
-0.10419772,600,2124.328355
-1.8092523,600,2124.328418
3.1645298,600,2133.496289
-2.2064862,600,2145.993964
1.3614085,600,2146.786299
-3.5982747,600,2151.336402
2.1342564,600,2155.894758
-1.066517,600,2162.258742
-1.5522685,600,2164.359833
1.1550535,600,2165.156563
-2.4184477,600,2183.190885
0.5748277,600,2184.087607
1.0288985,600,2196.740144
0.7398002,600,2196.740202
-1.9548417,600,2407.839449
-2.151537,600,2419.98596
-3.4867215,600,2420.839038
2.7447984,600,2425.427391
-0.55683744,600,2429.872418
1.4252679,600,2436.102374
-1.1626047,600,2438.305333
-0.76604,600,2439.14757
-1.4873328,600,2457.048248
0.59086573,600,2457.986048
-0.2946612,600,2470.154444
1.661449,600,2470.154506
1.2936511,600,2479.412035
-0.3791013,600,2491.650321
-0.68456376,600,2492.478658
2.6288102,600,2496.986201
-0.5057419,600,2501.586929
-0.7521456,600,2507.888246
0.21752611,600,2510.066088
-1.1303096,600,2510.964417
-0.76264185,600,2528.761951
-1.0817571,600,2529.724145
3.817904,600,2542.054083
0.006857298,600,2542.054143
-0.65252244,600,2551.468798
-2.6986814,600,2563.842068
0.88863885,600,2564.70208
-1.658946,600,2569.370761
-2.8436198,600,2574.051659
-2.367583,600,2580.47451
0.4381017,600,2582.648983
2.5121484,600,2583.487303
-0.8020988,600,2601.336153
-1.9292604,600,2602.319031
-0.8911181,600,2614.515731
0.2835202,600,2614.515795
-0.55057967,600,2623.988549
0.57458854,600,2636.622893
0.14371409,600,2637.490006
-0.3675783,600,2641.996045
-1.094339,600,2646.77928
-1.5464866,600,2653.070935
-1.877281,600,2655.224706
-1.2925276,600,2656.078921
-1.3544997,600,2674.334913
1.0825052,600,2675.298886
-0.3189516,600,2687.834414
-2.1038811,600,2687.834472
-2.2799854,600,2697.211653
-9.529865,415,2703.746605
-4.3277006,600,2709.864217
-1.1570519,600,2710.745155
-1.4126339,600,2715.204924
-3.0326045,600,2719.73824
-1.7386144,600,2728.101142
-1.8469981,600,2728.925056
0.49551147,600,2746.934041
0.14674123,600,2747.876861
-1.6694138,600,2760.385433
-3.646404,600,2760.385497
-0.72450733,600,2769.686483
-10.487207,188,2770.639849
-7.3240967,523,2773.70672
-1.4839853,600,2776.118677
-2.929504,600,2782.21905
-0.22905245,600,2787.55025
0.511843,600,2792.194524
-0.7661261,600,2800.76473
0.41525313,600,2801.628366
0.9120993,600,2820.025434
2.5252104,600,2833.2996
-0.5316696,600,2833.299658
0.82338464,600,2842.738876
0.054811675,600,2843.675857
-0.6615017,600,2846.63887
-9.052465,538,2847.537213
-0.54881716,600,2849.04995
0.24620435,600,2860.484587
-0.7901836,600,2865.034118
0.682125,600,2873.517904
-2.7945445,600,2874.337893
-1.5980179,600,2892.243541
1.2999246,600,2905.608383
-0.65186405,600,2905.608444
-3.7915852,600,2915.100372
1.0918875,600,2916.099831
-2.2204661,600,2919.117057
-3.2027242,600,2920.062047
-1.3008895,600,2921.454346
-2.8483272,600,2932.873935
-1.2188768,600,2937.46229
0.68463296,600,2945.915511
0.16929728,600,2946.719848
-1.9348005,600,2964.939735
-12.475008,253,2976.701016
-3.3390749,600,2978.259325
-0.6258681,600,2978.259397
-1.770706,600,2987.773902
0.21285246,600,2988.778553
-1.9557792,600,2991.778217
-1.0097811,600,2992.801324
-0.7511788,600,2994.257178
-0.8757023,600,3205.219648
-0.4664217,600,3209.636046
-1.3296565,600,3218.705466
-11.498423,145,3235.92213
1.3068657,600,3236.443116
-0.8895414,600,3248.165893
-0.5654899,600,3249.748547
-1.689095,600,3249.748624
0.8894529,600,3259.056508
0.4590994,600,3260.035249
0.1279175,600,3263.077617
-1.2400608,600,3264.087322
0.06591451,600,3265.553159
-1.0833416,600,3276.968508
-0.84084713,600,3281.538359
-1.9259437,600,3308.000325
0.5745993,600,3308.466475
-2.8601348,600,3320.118729
0.0131566245,600,3321.728904
-0.6647834,600,3321.728962
-0.86465967,600,3330.894361
1.4552273,600,3331.798267
0.97714025,600,3334.793886
0.9737813,600,3335.6944
-0.7371564,600,3337.121868
0.36598578,600,3348.666161
-0.40450203,600,3353.303998
-9.550379,361,3379.269254
0.5665265,600,3379.97725
-0.2212137,600,3380.486441
-10.344848,22,3382.019389
0.109181635,600,3392.111744
-0.047741305,600,3393.693837
-1.3205885,600,3393.693899
-1.6979258,600,3403.022144
-1.6973733,600,3403.973355
-1.2828765,600,3406.998498
-0.93711734,600,3409.449745
1.941918,600,3420.860777
-9.172052,103,3421.738244
0.6691342,600,3425.339017
-2.9161325,600,3451.986135
0.1708553,600,3452.462278
1.269044,600,3453.833947
-1.387542,600,3463.88011
