#{"t_start": 1769887389.2763064, "env_id": "None"}
r,l,t
-83.29368,363,44.525372
-101.38709,429,51.876375
-109.32159,491,58.739686
-36.69048,177,64.219583
-106.594604,600,70.989316
-120.31458,600,70.989369
-108.488434,600,70.989379
-112.80739,600,70.989387
-104.62996,600,70.989394
-109.5242,600,70.989401
-109.62093,600,70.989408
-112.653435,600,70.989415
-120.04797,600,70.989422
-37.1681,184,72.438852
-13.430654,36,74.900788
-24.402973,88,80.750666
-25.37867,94,82.770487
-36.854347,137,86.062331
-27.710892,114,87.591773
-36.39618,181,90.932052
-45.76483,215,94.730085
-68.70657,371,99.874285
-53.07373,287,102.56399
-25.10936,133,105.598563
-19.685299,63,112.535353
-15.173649,51,118.139803
-86.564125,600,130.660478
-95.821976,600,137.335503
-89.98663,600,137.335569
-86.73691,600,137.335588
-84.31285,600,147.12752
-82.22874,600,149.221625
-90.14405,600,152.522002
-86.15939,600,153.901262
-88.22516,600,160.97805
-87.76654,600,166.188482
-90.98974,600,168.91662
-44.506195,227,177.546223
-76.27648,600,184.669658
-83.53279,600,196.949701
-84.90726,600,203.84739
-83.154594,600,203.847449
-74.89034,600,203.847461
-92.33146,600,213.676918
-74.51409,491,215.687554
-81.82391,600,215.82238
-81.428894,600,220.564045
-17.04989,67,223.0902
-80.84819,600,232.946057
-84.5144,600,235.725913
-77.65275,600,244.353415
-79.70484,600,251.567975
-40.630775,201,255.439862
-84.74779,524,255.544295
-50.25807,333,260.226283
-81.56948,600,270.534936
-74.296936,600,270.534993
-79.52908,600,270.535003
-15.260532,38,274.655611
-68.49019,600,280.236864
-78.43558,600,282.331455
-74.28995,600,287.251524
-79.33863,600,302.439571
-74.97333,600,310.942117
-66.064545,600,318.119094
-70.09706,600,321.876197
-76.034805,600,321.977555
-64.17677,600,326.583065
-78.26467,600,336.856574
-61.732437,600,336.85665
-68.75678,600,341.039296
-69.007515,600,346.67656
-66.68668,600,348.803247
-63.944897,600,353.633694
-62.346367,600,368.774681
-69.64924,600,377.478198
-69.83688,600,384.566355
-60.791046,600,388.38816
-67.20775,600,388.502435
-69.088806,600,393.178309
-64.18979,600,403.891308
-61.436832,600,403.89138
-64.70544,600,408.084501
-61.35847,600,413.662365
-60.792904,600,415.755918
-59.100742,600,420.59405
-63.580704,600,435.867364
-61.077946,600,444.392142
-60.57138,600,451.559401
-59.44875,600,455.573341
-54.963314,600,455.702012
-63.651615,600,460.377165
-53.601788,600,470.915933
-53.695778,600,470.915992
-60.0286,600,475.151495
-58.250645,600,480.633678
-55.871525,600,482.775667
-60.02071,600,487.567746
-59.02281,600,502.96754
-50.11895,600,511.680421
-57.508522,600,518.867175
-53.56182,600,522.827496
-49.501522,600,522.932925
-51.773277,600,527.541727
-50.80532,600,538.044905
-52.24246,600,538.04497
-50.69081,600,542.292992
-47.206257,600,547.951412
-47.384098,600,550.088936
-48.826733,600,554.824852
-49.470623,600,758.82413
-48.65502,600,767.457047
-51.78949,600,774.616845
-46.545235,600,778.572119
-47.32826,600,778.678349
-42.487602,600,783.32725
-43.083572,600,793.896737
-45.008713,600,793.896794
-44.372684,600,798.138004
-45.06673,600,803.865144
-44.05557,600,805.996439
-43.25008,600,810.802219
-37.580418,600,826.257563
-39.061546,600,834.726951
-44.498886,600,841.987317
-40.78171,600,845.942656
-45.501274,600,846.050761
-42.019466,600,850.856359
-41.21709,600,861.544689
-41.202087,600,861.544752
-38.130463,600,865.776248
-41.30444,600,871.409134
-36.473198,600,873.632459
-41.773438,600,878.441802
-40.810463,600,893.766139
-39.64015,600,902.507505
-35.022453,600,909.780344
-35.588436,600,913.807026
-36.103672,600,913.933046
-33.55677,600,918.720475
-32.412903,600,929.306396
-37.839233,600,929.30647
-35.77651,600,933.583636
-31.065432,600,939.085094
-36.243828,600,941.245049
-35.15053,600,946.130009
-33.361717,600,961.595797
-33.46652,600,970.099416
-31.49522,600,977.272021
-32.067146,600,981.231234
-31.718344,600,981.356248
-32.059334,600,986.01657
-30.908705,600,996.667623
-29.833942,600,996.667682
-32.251133,600,1000.942267
-28.582003,600,1006.44501
-25.662542,600,1008.64634
-30.439346,600,1013.505454
-28.41611,600,1029.018629
-10.00074,469,1030.114057
-25.87709,600,1037.677925
-26.81004,600,1048.722145
-30.513996,600,1048.829054
-23.76711,600,1053.618991
-27.480122,600,1064.238272
-26.19359,600,1064.238333
-24.003723,600,1068.49178
-24.686535,600,1074.028522
-24.324675,600,1076.208726
-25.668915,600,1081.045879
-21.51902,600,1096.409933
-24.67133,600,1097.545301
-23.730623,600,1105.305341
-22.086012,600,1116.578742
-22.296837,600,1116.682946
-22.425457,600,1121.437311
-23.266272,600,1132.15684
-24.480322,600,1132.156919
-19.308245,600,1136.363344
-19.24492,600,1142.097338
-21.711464,600,1144.200774
-23.648876,600,1149.062898
-21.930176,600,1164.487255
-21.121277,600,1165.598697
-19.59818,600,1173.09533
-18.38198,600,1184.230227
-17.870697,600,1184.337471
-20.053366,600,1189.087923
-19.455727,600,1199.700591
-16.353115,600,1199.700649
-20.471298,600,1203.96052
-19.540005,600,1209.667208
-18.872044,600,1211.844041
-14.419713,600,1216.649766
-16.783594,600,1232.216367
-3.2500591,597,1233.010774
-19.259151,600,1240.985374
-15.64925,600,1252.322074
-19.314472,600,1252.432797
-17.769117,600,1257.188251
-16.969542,600,1267.652915
-13.160368,600,1267.652975
