timestep,v_cmd,w_cmd,d_tg,dtheta_tg
1,-0.40657663345336914,0.4209630489349365,6.320874456420686,0.021692236483661517
2,-0.40390393137931824,0.4212394952774048,6.303699810567619,0.07823563318845328
3,-0.41114675998687744,0.41358041763305664,6.2810200511416365,0.1340827977412357
4,-0.4276205897331238,0.3974100351333618,6.258411882776374,0.17776216672846568
5,-0.43468207120895386,0.38302791118621826,6.2368483600846565,0.22217516851106894
6,-0.4435511827468872,0.35310280323028564,6.213352948247296,0.26022443296380554
7,-0.4466458857059479,0.342374324798584,6.188318361158682,0.2949972658344026
8,-0.44993212819099426,0.32842981815338135,6.163151148937649,0.32660718775666886
9,-0.4527030885219574,0.3155060410499573,6.135609132020384,0.35622569739481547
10,-0.45425209403038025,0.3050631880760193,6.107374806565912,0.3874637166845074
11,-0.45595937967300415,0.28587210178375244,6.078731290559351,0.4151776745632504
12,-0.4569556713104248,0.2719881534576416,6.0486945457872405,0.44128594879510025
13,-0.4579527974128723,0.256400465965271,6.017985945924394,0.46764692372718336
14,-0.4593217968940735,0.23482537269592285,5.987565056698109,0.49213029880691644
15,-0.4596916437149048,0.21115338802337646,5.956152928633869,0.5133633403441578
16,-0.46054017543792725,0.1778380274772644,5.924577488305163,0.5292359297191203
17,-0.4621129035949707,0.16437888145446777,5.892546507581978,0.5448944457063816
18,-0.46290138363838196,0.1444249153137207,5.860159764418153,0.5577768814026187
19,-0.46372324228286743,0.12366259098052979,5.827305532799105,0.5690214460498029
20,-0.46483078598976135,0.12035572528839111,5.794634602771597,0.5789804704775856
21,-0.46584200859069824,0.1118270754814148,5.761900982047359,0.5868042626773804
22,-0.4664455056190491,0.09733331203460693,5.729031886508813,0.5950016965305384
23,-0.46342819929122925,0.04583334922790527,5.696583054667472,0.5982593383261758
24,-0.4640074372291565,0.026311397552490234,5.664269227400795,0.5998695392459716
25,-0.4674353301525116,0.03497147560119629,5.63185363721699,0.601740644651015
26,-0.4719521403312683,0.10218209028244019,5.598989357087336,0.609123870703405
27,-0.47212013602256775,0.1225285530090332,5.5657960085486815,0.6180310797494891
28,-0.47267258167266846,0.14731532335281372,5.532495910144043,0.6304258586904132
29,-0.4728787839412689,0.16193383932113647,5.498823082889475,0.6431898809660268
30,-0.47294872999191284,0.16763031482696533,5.464784859285294,0.6564189016737509
31,-0.4729982316493988,0.18699681758880615,5.430884028373442,0.6731219082643713
32,-0.4728885591030121,0.1952710747718811,5.396148375981691,0.6901639353789609
33,-0.47174808382987976,0.21782433986663818,5.360455942018255,0.7075258510765761
34,-0.47066694498062134,0.23547983169555664,5.324882878241931,0.7291213742512941
35,-0.4697820842266083,0.24346768856048584,5.289130997554896,0.7529680244058505
36,-0.468725323677063,0.258064866065979,5.252273511981019,0.7795289383458642
37,-0.4684009552001953,0.2573772668838501,5.215407542049961,0.8055360402763342
38,-0.4682922065258026,0.2568827271461487,5.1780856052631945,0.8302499628897104
39,-0.4680674374103546,0.2618598937988281,5.139388290778968,0.856647421613371
40,-0.46759146451950073,0.25573283433914185,5.100945335113429,0.8813407277858856
41,-0.46740224957466125,0.24597132205963135,5.060684230536145,0.9048347971027211
42,-0.4677637219429016,0.22790592908859253,5.020818005716215,0.926896987595612
43,-0.46815550327301025,0.21200424432754517,4.981539046118949,0.9468092488892671
44,-0.4681549072265625,0.20358699560165405,4.941260278458023,0.967581807729508
45,-0.46861982345581055,0.18281471729278564,4.900835591324409,0.986519176790232
46,-0.4680187702178955,0.1833844780921936,4.860192533510526,1.0033780747532888
47,-0.46767792105674744,0.1765449047088623,4.819184976479297,1.0229918836999254
48,-0.46748122572898865,0.16127729415893555,4.777981313870336,1.0376143271900335
49,-0.4680829346179962,0.1348552703857422,4.7367131590598035,1.0503271739007811
50,-0.4686042368412018,0.10682326555252075,4.6955756330483664,1.0599523301930258
51,-0.4686446189880371,0.09324169158935547,4.654268049589304,1.0684714526699215
52,-0.4691266715526581,0.07782340049743652,4.612919750903025,1.0760739236793542
53,-0.4693947434425354,0.05576622486114502,4.571637402426192,1.081241965583415
54,-0.46919137239456177,0.019328713417053223,4.530350405417177,1.083164479190005
55,-0.46872955560684204,-0.004229098558425903,4.489063431706678,1.0831502622383993
56,-0.46858450770378113,-0.016398251056671143,4.44797095610488,1.082157400643657
57,-0.46854105591773987,-0.027561664581298828,4.407052573363471,1.080346710764486
58,-0.4684368968009949,-0.041381657123565674,4.3662358426329995,1.0776674877469685
59,-0.46819597482681274,-0.05592721700668335,4.32555012175432,1.0736861092016547
60,-0.4685555696487427,-0.061861246824264526,4.2850078578988375,1.068325001007659
61,-0.4685914218425751,-0.07807734608650208,4.244745731052872,1.0619304230204079
62,-0.46874701976776123,-0.0957268476486206,4.204699132049008,1.0551109744313458
63,-0.4693357050418854,-0.1056162416934967,4.165251353931345,1.0468848867833636
64,-0.47016164660453796,-0.13732585310935974,4.125951702542782,1.0348423369731983
65,-0.4720768630504608,-0.26316869258880615,4.086813707843767,1.0099784012263786
66,-0.47351017594337463,-0.27280136942863464,4.048526598428032,0.9802418892366921
67,-0.47309157252311707,-0.15663295984268188,4.0108851596469375,0.9605523881762746
68,-0.4737447202205658,-0.16373270750045776,3.9738160917176573,0.9443337999980524
69,-0.4739977717399597,-0.27296310663223267,3.937200983228645,0.9202717381319612
70,-0.473651260137558,-0.24498701095581055,3.9015578558302457,0.8959207773559312
71,-0.47375059127807617,-0.11060148477554321,3.8676765522032985,0.8821831216044196
72,-0.4733411967754364,-0.10474872589111328,3.83439529109763,0.8716395305148575
73,-0.47363293170928955,-0.10010364651679993,3.8014810122889844,0.86241599192274
74,-0.47388797998428345,-0.09797137975692749,3.769178978590868,0.8549494885601148
75,-0.4743388891220093,-0.0979347825050354,3.737424769551518,0.8475752197554716
76,-0.4745545983314514,-0.0955771803855896,3.7058884302019606,0.8385085836220012
77,-0.47567468881607056,-0.08159759640693665,3.674984972389754,0.8308048084458464
78,-0.4758380055427551,-0.0654202401638031,3.6447383388256345,0.8256504490178678
79,-0.4759906530380249,-0.012491881847381592,3.614962056853843,0.8243488308987559
80,-0.47576457262039185,0.01047360897064209,3.5853932823868253,0.8246263329611405
81,-0.47578996419906616,0.021700382232666016,3.5561600222103005,0.8257383845196841
82,-0.47757062315940857,0.09787511825561523,3.5268881307154016,0.8333207383403978
83,-0.477919340133667,0.09519553184509277,3.497564671450751,0.8412595909882702
84,-0.4782414138317108,0.08323943614959717,3.4682890618914772,0.84808788104543
85,-0.4802904427051544,0.04200851917266846,3.439427934682744,0.8513338457867425
86,-0.4810633361339569,-0.012651622295379639,3.4108052084357636,0.8513269808425742
87,-0.4824039936065674,0.10048717260360718,3.3820905010814837,0.8579543244941771
88,-0.4824807047843933,0.18212121725082397,3.3532654096573666,0.8710894167060186
89,-0.48293158411979675,0.2546253800392151,3.324096390168355,0.8947097155999133
90,-0.4832743704319,0.25961315631866455,3.2938013006853293,0.9235081546435424
91,-0.48355939984321594,0.26722437143325806,3.263258028225162,0.9492718792328945
92,-0.483669638633728,0.30693864822387695,3.2319388999601553,0.9759147162788833
93,-0.4842813014984131,0.32966262102127075,3.2006521814370297,1.0049550536047591
94,-0.48444557189941406,0.3615853190422058,3.1666045443307227,1.0326709838163315
95,-0.48578137159347534,0.4103367328643799,3.1305552505391585,1.0696358426624315
96,-0.487210214138031,0.4323144555091858,3.094906645272538,1.1146845379921575
97,-0.4873576760292053,0.43709003925323486,3.0576854813497945,1.1626371370908961
98,-0.48734912276268005,0.4370691180229187,3.019829368487611,1.2059006207848535
99,-0.48738354444503784,0.4346461892127991,2.980657332617242,1.2485623638125556
100,-0.48757404088974,0.4333338737487793,2.9416137472952286,1.2914034975903135
101,-0.4874505400657654,0.42817461490631104,2.9006455941967992,1.3351797611601912
102,-0.4876392185688019,0.42247819900512695,2.858916045576139,1.3791501812136104
103,-0.4876392185688019,0.4159354567527771,2.81603864511747,1.4158493937484509
104,-0.48772892355918884,0.4121124744415283,2.7732912107303385,1.4555991837345765
105,-0.48775678873062134,0.4210048317909241,2.7293715433770713,1.496722191888646
106,-0.48770588636398315,0.4158843755722046,2.685043300765518,1.5329964046965043
107,-0.4877597987651825,0.41387075185775757,2.6385415083769277,1.5690607833718806
108,-0.487885057926178,0.41362982988357544,2.59140936518461,1.6129935863539944
109,-0.48798659443855286,0.41010576486587524,2.544040486007582,1.653935643422714
110,-0.4880346655845642,0.40514838695526123,2.4963956580842384,1.6885598252880816
111,-0.48819205164909363,0.40041959285736084,2.4483872106767084,1.729327872492176
112,-0.4886137843132019,0.38874495029449463,2.39970601910032,1.7676592028686509
113,-0.48875439167022705,0.3814222812652588,2.3515247267307333,1.8048887433800402
114,-0.4889291822910309,0.3687310218811035,2.302524052080362,1.838212460909888
115,-0.48916298151016235,0.3560885190963745,2.2544387203609304,1.8759735848751569
116,-0.4893381893634796,0.33822137117385864,2.204947556577324,1.9124531274227297
117,-0.48980721831321716,0.3211667537689209,2.155811341454,1.9429120817698335
118,-0.4900848865509033,0.30037379264831543,2.106713251232565,1.9690063984204593
119,-0.4905577003955841,0.27335691452026367,2.05759475748105,1.9997654104138685
120,-0.4906920790672302,0.25230443477630615,2.008726348919853,2.0259886884529217
121,-0.49093133211135864,0.23237484693527222,1.960836691975736,2.0463192074900953
122,-0.49111509323120117,0.21489310264587402,1.912451210024942,2.066475803465007
123,-0.49117007851600647,0.1923009753227234,1.8640157918926135,2.087270294955801
124,-0.4910038113594055,0.16342973709106445,1.815335934421441,2.104446787018863
125,-0.4908628761768341,0.1498149037361145,1.7664231682971512,2.119768664363481
126,-0.4907858371734619,0.12405282258987427,1.718485122245229,2.1315877026183103
127,-0.4909445345401764,0.08806401491165161,1.6708774891117797,2.1401188110215372
128,-0.49116235971450806,0.0445704460144043,1.6231289500208839,2.1436643535592803
129,-0.4910486340522766,-0.024926453828811646,1.5754853203403487,2.142891902348972
130,-0.4909713864326477,-0.043269574642181396,1.5278593779936136,2.140047593403184
131,-0.4909314215183258,-0.08331164717674255,1.480040049930709,2.133806871537404
132,-0.4899325668811798,-0.12994736433029175,1.4325071334268162,2.1237320759411915
133,-0.4898136854171753,-0.1151873767375946,1.3849599202916323,2.1122038516176547
134,-0.4898710250854492,-0.0780470073223114,1.3372578444657814,2.104502002893124
135,-0.48995792865753174,-0.05618736147880554,1.2897585121536836,2.0993145109173375
136,-0.4899352490901947,-0.06748580932617188,1.2422701884598395,2.094370001039767
137,-0.49031317234039307,-0.04905045032501221,1.1947226122968173,2.090043311605278
138,-0.49074336886405945,-0.047804057598114014,1.1470178702268197,2.0859642648807077
139,-0.49088162183761597,-0.03496178984642029,1.0992210900523007,2.0834469882081077
140,-0.4913371801376343,-0.05527365207672119,1.051468589495983,2.079021417248503
141,-0.4915212392807007,-0.04886901378631592,1.0036540747711034,2.0757988378400545
142,-0.4918259084224701,-0.06455504894256592,0.9558890253268664,2.0705954770991557
143,-0.49193355441093445,-0.14861738681793213,0.9083057238002901,2.0605927048685935
144,-0.49219223856925964,-0.24962109327316284,0.8603857031720417,2.0419071592812945
145,-0.4923642575740814,-0.33068209886550903,0.8118096060547398,2.0114895516580718
146,-0.492465615272522,-0.3892177641391754,0.7631182426416501,1.970014726313524
147,-0.4918454885482788,-0.4185638427734375,0.7133666965255253,1.9302378790893402
148,-0.491077184677124,-0.4262430667877197,0.6645048912710028,1.8843267940962443
149,-0.4906318783760071,-0.3770555555820465,0.6161677812246523,1.8485102510125448
150,-0.49021849036216736,-0.3234627842903137,0.5691693424939416,1.8182811723030667
151,-0.48978787660598755,-0.1818864941596985,0.5215962398815971,1.7981668834428235
152,-0.4895925223827362,-0.11537688970565796,0.4752896622839692,1.7853345959994802
153,-0.48930132389068604,-0.03591543436050415,0.4294490306912651,1.781826754419719
154,-0.48899906873703003,0.03853541612625122,0.38409210492758405,1.7834765496621945
155,-0.488425612449646,0.06020992994308472,0.33939190339290914,1.7875422976292619
156,-0.48781102895736694,0.0875200629234314,0.29515541285941316,1.793542114106077
157,-0.4856571555137634,0.17675960063934326,0.2516675447615984,1.8061823707938263
158,-0.47959575057029724,0.08971965312957764,0.2111324189305671,1.814668966717274
159,-0.46459051966667175,0.07281363010406494,10.370746614294015,2.8571747500014393
