#{"t_start": 1768332548.0365372, "env_id": "None"}
r,l,t
-1006.0,7,5.759458
-1007.0,8,5.814686
-1179.0,180,14.177638
-600.0,600,34.703673
-600.0,600,34.703751
-600.0,600,34.70377
-600.0,600,34.703786
-600.0,600,34.703801
-600.0,600,37.755253
-600.0,600,38.223143
-1072.0,73,74.203414
-1562.0,563,106.077953
-1168.0,169,119.710642
-1101.0,102,127.124373
-1040.0,41,148.824348
-1020.0,21,159.972127
-1029.0,30,176.079841
-1008.0,9,180.879887
-1004.0,5,183.635294
-1382.0,383,238.335908
-1183.0,184,295.033464
-1524.0,525,328.27307
-1565.0,566,356.804481
-600.0,600,380.509919
-600.0,600,385.45037
-600.0,600,484.490211
-600.0,600,502.691874
-1002.0,3,504.781358
-1065.0,66,553.227364
-600.0,600,660.159506
-600.0,600,727.255671
-1576.0,577,750.48216
-600.0,600,798.410238
-600.0,600,827.468232
-600.0,600,833.610234
-1052.0,53,842.807779
-1045.0,46,869.397755
-1028.0,29,892.114056
-1119.0,120,939.192984
-600.0,600,942.641208
-1174.0,175,970.395757
-1035.0,36,1001.629032
-600.0,600,1024.979183
-1460.0,461,1030.227042
-1012.0,13,1036.263579
-1265.0,266,1169.835887
-600.0,600,1229.428236
-600.0,600,1254.785918
-600.0,600,1410.931041
-600.0,600,1463.865466
-600.0,600,1523.70291
-600.0,600,1552.629864
-600.0,600,1558.793757
-600.0,600,1693.48234
-600.0,600,1752.843739
-600.0,600,1777.790309
-600.0,600,1934.935702
-1223.0,224,1948.115411
-600.0,600,1988.923358
-600.0,600,2049.78433
-1590.0,591,2077.564013
-600.0,600,2079.382812
-600.0,600,2223.985339
-600.0,600,2309.26507
-1490.0,491,2423.30243
-600.0,600,2465.351375
-600.0,600,2478.467611
-600.0,600,2577.858311
-600.0,600,2605.084585
-600.0,600,2606.875736
-600.0,600,2749.337526
-534.0,535,2778.137778
-600.0,600,2955.872901
-600.0,600,2998.864453
-600.0,600,3012.33688
-600.0,600,3114.68129
-600.0,600,3142.681814
-600.0,600,3144.477859
-1030.0,31,3170.670162
-1080.0,81,3187.933357
-600.0,600,3289.522405
-600.0,600,3318.373281
-1183.0,184,3336.403902
-1214.0,215,3483.340041
-600.0,600,3495.978513
-600.0,600,3539.18325
-600.0,600,3552.758835
-600.0,600,3879.848702
-600.0,600,3912.932528
-600.0,600,4028.697426
-600.0,600,4045.957144
-1069.0,70,4103.136518
-1263.0,264,4123.99785
-328.0,329,4137.946038
-600.0,600,4177.251243
-600.0,600,4188.921772
-600.0,600,4226.376193
-600.0,600,4238.616583
-600.0,600,4503.047548
-600.0,600,4573.704588
-600.0,600,4596.324823
-600.0,600,4609.580801
-567.0,568,4621.275089
-600.0,600,4657.005324
-600.0,600,4694.24733
-600.0,600,4705.886801
-1429.0,430,4949.415145
-600.0,600,4962.923617
-1023.0,24,4979.936597
-600.0,600,5028.113264
-600.0,600,5051.584294
-600.0,600,5063.107521
-1167.0,168,5104.981401
-600.0,600,5108.453794
-1004.0,5,5108.453847
-1110.0,111,5111.261995
-600.0,600,5145.6367
-600.0,600,5156.336026
-1046.0,47,5191.865904
-1015.0,16,5204.381862
-1056.0,57,5246.631057
-1148.0,149,5255.848866
-600.0,600,5393.024788
-600.0,600,5493.554821
-600.0,600,5506.02692
-600.0,600,5550.592722
-600.0,600,5550.592784
-600.0,600,5553.518442
-1246.0,247,5573.178159
-1037.0,38,5600.688241
-1009.0,10,5608.081975
-1075.0,76,5608.827317
-600.0,600,5683.319646
-600.0,600,5693.551129
-321.0,322,5727.487458
-600.0,600,5938.267942
-600.0,600,5979.03882
-600.0,600,5979.038895
-1001.0,2,5980.351063
-600.0,600,6031.275405
-600.0,600,6031.948448
-1025.0,26,6048.427716
-600.0,600,6099.937907
-600.0,600,6109.120181
-600.0,600,6140.168545
-1360.0,361,6177.164854
-600.0,600,6379.160223
-600.0,600,6380.48295
-600.0,600,6431.21768
-600.0,600,6447.299087
-1065.0,66,6490.764837
-600.0,600,6498.987712
-600.0,600,6508.07315
-600.0,600,6539.055588
-600.0,600,6576.882722
-600.0,600,6771.208696
-600.0,600,6772.47917
-600.0,600,6823.013312
-600.0,600,6884.918226
-600.0,600,6892.815109
-600.0,600,6902.092514
-600.0,600,6933.026198
-600.0,600,6969.750927
-1327.0,328,6988.181448
-1308.0,309,7085.996651
-600.0,600,7167.181146
-1458.0,459,7191.990975
-1336.0,337,7207.59205
-600.0,600,7216.614425
-1051.0,52,7251.542827
-600.0,600,7291.963356
-600.0,600,7322.0062
-600.0,600,7357.423592
-1303.0,304,7386.660687
-1115.0,116,7656.658484
-600.0,600,7666.23035
-1040.0,41,7680.21657
-600.0,600,7739.444777
-600.0,600,7779.345426
-600.0,600,7822.462357
-600.0,600,7864.109674
-600.0,600,7895.921751
-1182.0,183,7898.595701
-600.0,600,7932.948868
-1497.0,498,7984.955548
-1094.0,95,8047.482121
-600.0,600,8067.223776
-600.0,600,8132.645695
-600.0,600,8220.795218
-600.0,600,8266.284147
-600.0,600,8297.100745
-600.0,600,8299.49888
-600.0,600,8332.650218
-1495.0,496,8375.298935
-600.0,600,8457.926285
-1294.0,295,8482.462111
-600.0,600,8518.622586
-600.0,600,8598.92873
-600.0,600,8639.927234
-600.0,600,8668.721326
-600.0,600,8702.687853
-600.0,600,8745.072181
-1090.0,91,8798.717167
-1527.0,528,8805.80888
-600.0,600,8824.301224
-1090.0,91,8860.11358
-1003.0,4,8862.664484
-600.0,600,8884.284433
-1212.0,213,8953.782803
-600.0,600,8963.105401
-1301.0,302,8980.688325
-600.0,600,9001.196613
-600.0,600,9028.703082
-1090.0,91,9033.974544
-600.0,600,9061.387819
-600.0,600,9218.360749
-600.0,600,9239.963752
-600.0,600,9308.223574
-600.0,600,9317.763051
-600.0,600,9356.438361
-1023.0,24,9369.671089
-600.0,600,9382.923193
-600.0,600,9388.253072
-1004.0,5,9391.170964
-1145.0,146,9402.642163
-600.0,600,9415.367753
-600.0,600,9567.063627
-600.0,600,9587.600704
-600.0,600,9652.867738
-600.0,600,9716.6539
-600.0,600,9730.1712
-600.0,600,9738.551026
-600.0,600,9750.34155
-1020.0,21,9750.988933
-600.0,600,9763.426206
-1156.0,157,9842.933423
-1040.0,41,9867.779251
-1386.0,387,9881.950865
-600.0,600,9917.142057
-600.0,600,9937.354007
-1130.0,131,9954.62637
-600.0,600,10056.762778
-600.0,600,10068.96217
-600.0,600,10086.860724
-332.0,333,10098.158023
-600.0,600,10098.719276
-600.0,600,10193.493482
-1183.0,184,10196.814593
-1044.0,45,10217.598532
-600.0,600,10260.142054
-600.0,600,10277.321739
-1380.0,381,10290.605556
